arise arose arisen pojawić.się
awake awoke awoken obudzić
be was,were been być
beat beat beaten zbić
become became become stawać.się
begin began begun zaczynać
bend bent bent zginać
bet bet bet zakładać.się
bind bound bound złączyć
bite bit bitten ugryźć
bleed bled bled krwawić
blow blew blown wiać
break broke broken łamać
breed bred bred hodować
bring brought brought przynosić
build built built budować
burn burnt burnt palić
buy bought bought kupować
cast cast cast rzucić(czarować)
catch caught caught łapać
choose chose chosen wybierać
cling clung clung przywrzeć
come came come przyjść
cost cost cost kosztować
creep crept crept skradać.się
cut cut cut ciąć
deal dealt dealt mieć.do.czynienia
dig dug dug kopać
do did done robić
draw drew drawn rysować
dream dreamt dreamt śnić
drink drank drunk pić
drive drove driven prowadzić
eat ate eaten jeść
fall fell fallen upadać
feed fed fed karmić
feel felt felt czuć
fight fought fought walczyć
find found found znaleźć
fit fit fit pasować
flee fled fled umykać
fling flung flung rzucać(gdziekolwiek)
fly flew flown latać
forbid forbade forbidden zabraniać
forget forgot forgotten zapominać
forgive forgave forgiven wybaczać
forsake forsook forsaken porzucać
foretell foretold foretold przepowiadać
freeze froze frozen zamarzać
get got got dostawać
give gave given dawać
go went gone iść
grind ground ground rozkruszyć
grow grew grown rosnąć
hang hung hung zawieszać
have had had mieć
hear heard heard słyszeć
hide hid hidden chować
hit hit hit uderzać
hold held held trzymać
hurt hurt hurt ranić
keep kept kept trzymać
kneel knelt knelt klęczeć
knit knit knit robić.na.drutach
know knew known wiedzieć
lay laid laid kłaść
lead led led prowadzić(ranking)
leap leapt leapt skoczyć(nad)
learn learnt learnt uczyć.się
leave left left opuszczać(miejsce)
lend lent lent pożyczać
let let let pozwalać
light lit lit oświetlać
lose lost lost tracić
make made made robić
mean meant meant znaczyć
meet met met spotykać
pay paid paid płacić
prove proved proven udowadniać
put put put polożyć
quit quit quit opuszczać(czynność)
read read read czytać
ride rode ridden jeździć
ring rang rung dzwonić
rise rose risen podnosić.się
run ran run biec
saw sawed sawn piłować
say said said mówić
see saw seen widzieć
seek sought sought szukać
sell sold sold sprzedawać
send sent sent wysyłać
set set set umieszczać
shake shook shaken trząść
shed shed shed zrzucać
shine shone shone błyszczeć
shoot shot shot strzelać
show showed shown pokazywać
shrink shrank shrunk kurczyć.się
shut shut shut zamykać
sing sang sung śpiewać
sink sank sunk tonąć
sit sat sat siadać
slay slew slain zabijać
sleep slept slept spać
slide slid slid ślizgać.się
sling slung slung miotać
speak spoke spoken mówić
spend spent spent spędzać
spin spun spun zakręcić.czymś
split split split rodzielać
spread spread spread rozprzestrzeniać
spring sprang sprung wyskakiwać
stand stood stood stać
steal stole stolen kraść
stick stuck stuck utknąć
sting stung stung żądlić
stink stank stunk śmierdzieć
strike struck struck uderzyć
strive strove striven starać.się
swear swore sworn przeklinać
sweep swept swept zamiatać
swim swam swum pływać
swing swung swung machnąć
take took taken brać
teach taught taught uczyć
tear tore torn drzeć
tell told told mówić
think thought thought myśleć
throw threw thrown rzucać
tread trod trodden kroczyć
wake woke woken budzić
wear wore worn nosić
weep wept wept szlochać
understand understood understood rozumieć
win won won wygrywać
wind wound wound nawijać
wring wrung wrung wykręcić
write wrote written pisać
